2025-06-17 13:52:32,947 INFO    EnhancedWandbMetricsThread:72679 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /Users/apple/Desktop/chatbot_prototype/wandb/run-20250617_135232-kivytpso/logs/debug.log
2025-06-17 13:52:32,948 INFO    EnhancedWandbMetricsThread:72679 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /Users/apple/Desktop/chatbot_prototype/wandb/run-20250617_135232-kivytpso/logs/debug-internal.log
2025-06-17 13:52:32,948 INFO    EnhancedWandbMetricsThread:72679 [wandb_init.py:init():852] calling init triggers
2025-06-17 13:52:32,948 INFO    EnhancedWandbMetricsThread:72679 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'app_version': '1.0.0', 'interface_type': 'gradio', 'retrieval_method': 'vector_store', 'max_context_length': 8000, 'evaluation_metrics': ['accuracy', 'response_time', 'token_usage', 'user_satisfaction'], '_wandb': {}}
2025-06-17 13:52:32,948 INFO    EnhancedWandbMetricsThread:72679 [wandb_init.py:init():893] starting backend
2025-06-17 13:52:32,948 INFO    EnhancedWandbMetricsThread:72679 [wandb_init.py:init():897] sending inform_init request
2025-06-17 13:52:32,954 INFO    EnhancedWandbMetricsThread:72679 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2025-06-17 13:52:32,954 INFO    EnhancedWandbMetricsThread:72679 [wandb_init.py:init():907] backend started and connected
2025-06-17 13:52:32,972 INFO    EnhancedWandbMetricsThread:72679 [wandb_init.py:init():1002] updated telemetry
